Método,Qual a sua turma?,Nome Completo,Em que fase está a sua empresa após o programa?,Faturamento antes do programa,Faturamento após o programa,Você gerou quantos empregos durante/após a participação no Inovativa?,Você fez conexões relevantes graças ao programa Inovativa?,"Para você acelerar o seu negócio, o quanto participar do Inovativa foi importante?","Para você crescer a sua renda, o quanto participar do Inovativa foi importante?","Para você aumentar a sua motivação e comprometimento, o quanto participar do Inovativa foi importante?","Para você encontrar novas ideias e soluções para o seu negócio, o quanto participar do Inovativa foi importante?","Para você ter acesso a novos clientes, o quanto participar do Inovativa foi importante?","Para você fazer conexões relevantes, o quanto participar do Inovativa foi importante?","Para você melhorar a sua competitividade no seu mercado de atuação, o quanto participar do Inovativa foi importante?","Para você ganhar visibilidade, reconhecimento e credibilidade, o quanto participar do Inovativa foi importante?","Em geral, qual o seu nível de satisfação com a metodologia adotada pelo programa?",Grau de escolaridade,Como você se auto declara,Qual seu gênero,Qual o ramo do seu negócio?
On-line,Inovatilândia,Startup Número 20,Fase de crescimento (aumentando o número de clientes),3000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Saúde
On-line,Huberlândia,Startup Número 21,Fase de crescimento (aumentando o número de clientes),2000,8000,2,Não,Importante,Importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Masculino,Tecnologia da informação e Comunicação
On-line,Huberlândia,Startup Número 22,Fase de crescimento (aumentando o número de clientes),450,800,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Varejo
On-line,Huberlândia,Startup Número 23,Fase de crescimento (aumentando o número de clientes),10,3000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Varejo
On-line,Huberlândia,Startup Número 24,Validação - fase em que o produto ou serviço da startup é validado no mercado,500,4000,0,Não,Importante,Sem importância,Importante,Importante,Pouco importante,Pouco importante,Importante,Muito importante,Satisfeito,Superior completo,Não sei/não gostaria de declarar,Cisgênero Feminino,Saúde
On-line,Huberlândia,Startup Número 25,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,9000,8000,0,Sim,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Saúde
On-line,Brasilândia,Startup Número 26,Fase de crescimento (aumentando o número de clientes),50,80,0,Sim,Muito importante,Razoavelmente importante,Muito importante,Muito importante,Importante,Razoavelmente importante,Muito importante,Razoavelmente importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Prefiro não responder,Saúde
On-line,Brasilândia,Startup Número 27,Validação - fase em que o produto ou serviço da startup é validado no mercado,50,50,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Prefiro não responder,Varejo
On-line,Brasilândia,Startup Número 28,Fase de crescimento (aumentando o número de clientes),4000,7000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Varejo
On-line,Inovatilândia,Startup Número 29,Fase de crescimento (aumentando o número de clientes),5000,20000,0,Sim,Importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Mais ou menos satisfeito,Mestrado,Preta/Preto,Outro,Saúde
On-line,Inovatilândia,Startup Número 30,Fase de crescimento (aumentando o número de clientes),300,6000,0,Não,Pouco importante,Pouco importante,Sem importância,Pouco importante,Sem importância,Sem importância,Pouco importante,Pouco importante,Mais ou menos satisfeito,Superior completo,Preta/Preto,Cisgênero Feminino,Outro
On-line,Inovatilândia,Startup Número 31,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,600,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Varejo
On-line,Inovatilândia,Startup Número 32,Fase de crescimento (aumentando o número de clientes),580,580,1,Sim,Muito importante,Razoavelmente importante,Importante,Importante,Muito importante,Muito importante,Razoavelmente importante,Muito importante,Satisfeito,Médio completo,Branca/Branco,Cisgênero Feminino,Varejo
On-line,Inovatilândia,Startup Número 33,Fase de crescimento (aumentando o número de clientes),5000,5000,1,Sim,Importante,Importante,Muito importante,Importante,Importante,Importante,Importante,Importante,Muito satisfeito,Pós-graduação incompleto,Preta/Preto,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Inovatilândia,Startup Número 34,Fase de crescimento (aumentando o número de clientes),120,120,0,Sim,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Satisfeito,Pós-graduação completo,Não sei/não gostaria de declarar,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Inovatilândia,Startup Número 35,Validação - fase em que o produto ou serviço da startup é validado no mercado,7000,11000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Feminino,Saúde
On-line,Inovatilândia,Startup Número 36,Validação - fase em que o produto ou serviço da startup é validado no mercado,3000,15000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Fundamental completo,Parda/Pardo,Cisgênero Feminino,Saúde
On-line,Inovatilândia,Startup Número 37,Fase de crescimento (aumentando o número de clientes),1700,1800,1,Sim,Pouco importante,Pouco importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Razoavelmente importante,Mais ou menos satisfeito,Pós-graduação completo,Branca/Branco,Cisgênero Feminino,Outro
On-line,Inovatilândia,Startup Número 38,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,2000,2,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Prefiro não responder,Saúde
On-line,Inovatilândia,Startup Número 39,Fase de crescimento (aumentando o número de clientes),5000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Satisfeito,Pós-graduação completo,Não sei/não gostaria de declarar,Cisgênero Masculino,Saúde
On-line,Saltópolis,Startup Número 40,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,4000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Razoavelmente importante,Importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Educação
On-line,Saltópolis,Startup Número 41,Fase de crescimento (aumentando o número de clientes),3000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Masculino,Outro
On-line,Saltópolis,Startup Número 42,Fase de crescimento (aumentando o número de clientes),2000,8000,0,Sim,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Saltópolis,Startup Número 43,Validação - fase em que o produto ou serviço da startup é validado no mercado,450,800,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Branca/Branco,Cisgênero Feminino,Outro
On-line,Saltópolis,Startup Número 44,Fase de crescimento (aumentando o número de clientes),40,10000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Parda/Pardo,Cisgênero Masculino,Outro
On-line,Saltópolis,Startup Número 45,Fase de crescimento (aumentando o número de clientes),2000,2000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Saúde
On-line,Saltópolis,Startup Número 46,Validação - fase em que o produto ou serviço da startup é validado no mercado,5000,6000,0,Não,Muito importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Mestrado,Amarela/Amarelo,Cisgênero Feminino,Tecnologia da informação e Comunicação
On-line,Inovatilândia,Startup Número 47,Fase de crescimento (aumentando o número de clientes),3000,6000,1,Sim,Importante,Importante,Muito importante,Muito importante,Importante,Razoavelmente importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Outro
On-line,Brasilândia,Startup Número 48,Validação - fase em que o produto ou serviço da startup é validado no mercado,3000,8000,0,Não,Importante,Importante,Muito importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Importante,Importante,Muito satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Feminino,Educação
On-line,Brasilândia,Startup Número 49,Fase de crescimento (aumentando o número de clientes),9000,13000,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Médio completo,Preta/Preto,Cisgênero Feminino,Educação
On-line,Inovatilândia,Startup Número 50,Fase de crescimento (aumentando o número de clientes),1800,6000,0,Sim,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Varejo
